画像URL,画像,NO,カード名,型番,レアリティ,カードラッシュ買取金額,価格,テラピークでのURL,30日平均販売単価,30日安値,30日セラー数,販売数／セラー数,手数料,鑑定料,送料,利益率
,,,シャンクス,OP01-120,SEC,700000.0,,,,,,,,,,
,,,ポートガス・D・エース,OP02-013,SR,120000.0,,,,,,,,,,
,,,そげキング,OP03-122,SEC,60000.0,,,,,,,,,,
,,,サボ,OP04-083,SR,75000.0,,,,,,,,,,
,,,トラファルガー・ロー,OP05-069,SR,120000.0,,,,,,,,,,
,,,ユースタス・キッド,OP05-074,SR,95000.0,,,,,,,,,,
,,,モンキー・D・ルフィ,OP05-119,SEC,420000.0,,,,,,,,,,
,,,モンキー・D・ルフィ,ST01-012,SR,140000.0,,,,,,,,,,
,,,ロロノア・ゾロ,OP06-118,SEC,100000.0,,,,,,,,,,
,,,トニートニー・チョッパー,EB01-006,SR,110000.0,,,,,,,,,,
https://files.cardrush.media/onepiece/ocha_products/3351.jpeg?w=384&q=75,,,ボア・ハンコック,OP07-051,SR,210000.0,,,,,,,,,,
,,,モンキー・D・ルフィ,ST10-006,SR,3700000.0,,,,,,,,,,
,,,トラファルガー・ロー,ST10-010,SR,1150000.0,,,,,,,,,,
,,,ユースタス・キッド,ST10-013,SR,600000.0,,,,,,,,,,
,,,サカズキ,OP02-099,SR,2600000.0,,,,,,,,,,
,,,クザン,OP02-096,SR,850000.0,,,,,,,,,,
,,,ボルサリーノ,OP02-114,SR,650000.0,,,,,,,,,,
,,,ウソップ,OP01-004,R,380000.0,,,,,,,,,,
,,,ロロノア・ゾロ,ST01-013,SR,850000.0,,,,,,,,,,
,,,シャンクス,OP01-120,SEC,700000.0,,,,,,,,,,
,,,モンキー・D・ルフィ,ST01-001,L,2300000.0,,,,,,,,,,
,,,ロロノア・ゾロ,OP01-025,SR,180000.0,,,,,,,,,,
,,,ジュラキュール・ミホーク,OP01-070,SR,130000.0,,,,,,,,,,
,,,カイドウ,OP01-094,SR,95000.0,,,,,,,,,,
,,,サボ,OP04-083,SR,75000.0,,,,,,,,,,
,,,ペローナ,OP06-093,SR,23000.0,,,,,,,,,,
,,,おナミ,OP06-101[OP07],SP,20000.0,,,,,,,,,,
,,,ナミ,OP01-016,R,14000.0,,,,,,,,,,
,,,レベッカ,OP05-091[OP06],SP,10000.0,,,,,,,,,,
,,,シャーロット・リンリン,ST07-010,SR,9000.0,,,,,,,,,,
,,,ボア・ハンコック,OP01-078[OP04],SP,18000.0,,,,,,,,,,
